Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message,
34.5268599999994,1056,,,,,23.776241036243352,0.18043994804912503,0,1623,4.290183697383225,,,
34.552864999999294,1056,,,,,23.776027966156,0.182786146258969,0,1618,4.3459285252791275,,,
34.579200000000185,1056,,,,,23.776252930419844,0.18268576557454108,0,1616,4.343582969087675,,,
34.606479999999515,1056,,,,0.04645679669534998,23.77597819866535,0.18267878195366738,0,1616,4.343366737089137,0.010696033631846772,,
34.62924000000022,1056,,,,,23.775781298968106,0.18144914666702017,0,1616,4.314095228039459,,,
34.65234499999974,1056,,,,,23.775811172498045,0.1815061036266886,0,1616,4.315454846484011,,,
34.67824000000022,1056,,,,,23.77561196421184,0.18221357891515563,0,1616,4.332239346897032,,,
34.701639999999664,1056,,,,,23.775445452782257,0.18267395978888581,0,1616,4.343154766604394,,,
34.72497999999952,1056,,,,,23.775285736720715,0.18446670146056038,0,1617,4.385748536135179,,,
34.75291500000004,1056,,,,0.04765956091338126,23.77534210803762,0.18440336821104653,0,1617,4.38425316509206,0.010870622456944845,,
34.777269999999554,1056,,,,,23.775328141390684,0.1850987474190171,0,1541,4.400783458447524,,,
34.8015549999997,1056,,,,,23.775586429440175,0.18183747775562484,0,1442,4.3232926684902635,,,
34.82876999999955,1056,,,,,23.77550674656881,0.1808092053099879,0,1425,4.298830480689362,,,
34.85274500000011,1056,,,,,23.775261534578867,0.18057806059947554,0,1294,4.2932906181595625,,,
34.8776799999997,1056,,,,,23.775235523459948,0.17911804983985105,0,1560,4.258573821445296,,,
34.90319999999925,1056,,,,0.04398662876429502,23.7752228617691,0.1802562233312097,0,1606,4.285631881920334,0.010263744058340636,,
34.92620999999903,1056,,,,,23.775531560538745,0.18090424214388018,0,1508,4.301094518527167,,,
34.95053500000015,1056,,,,,23.775380705360714,0.1827975636840093,0,1432,4.346081668599741,,,
34.981294999998994,1056,,,,,23.775168003146234,0.18688541454619662,0,1419,4.443232128173453,,,
35.00877500000037,1056,,,,,23.775194351424535,0.18546869729378473,0,1110,4.409554324265257,,,
35.039200000000186,1056,,,,0.03602230052597562,23.775522320357567,0.18670030800601134,0,864,4.438897340214555,0.008115146119651974,,
35.07125499999989,1056,,,,,23.775603477928033,0.18407367026347415,0,908,4.376462594911234,,,
35.1055399999991,1056,,,,,23.775685173872397,0.18360860924073277,0,1436,4.36542048852022,,,
35.13716000000015,1056,,,,,23.775778579067232,0.18535947314286158,0,1582,4.407065790977236,,,
35.16263999999966,1056,,,,,23.775745722446477,0.18618094545314007,0,1610,4.4265908174585356,,,
35.19631000000052,1056,,,,0.026639046803349935,23.7758461449004,0.1857272635059268,0,1614,4.41582284203029,0.0060326348579468675,,
35.22765999999922,1056,,,,,23.775974828204404,0.1874418774061651,0,1615,4.456613358960357,,,
35.2555549999997,1056,,,,,23.77622657844361,0.18808575349552697,0,1616,4.471969491286941,,,
35.28188999999966,1056,,,,,23.776268048903876,0.19005883004868743,0,1616,4.518889688298659,,,
35.34903000000026,1056,,,,,23.776268034133686,0.18735340244913312,0,1471,4.454564713737508,,,
35.37275999999978,1056,,,,0.012376842101922848,23.776073652090584,0.1864618918156608,0,1299,4.433331673117298,0.002791769940646031,,
35.40496499999985,1056,,,,,23.775504368917375,0.183645622753421,0,902,4.366267306106513,,,
35.43241000000015,1056,,,,,23.775470358674987,0.18511090005236963,0,825,4.401098717262762,,,
35.45554999999981,1056,,,,,23.775542988871596,0.1861893729057659,0,811,4.426753439592082,,,
35.48184499999974,1056,,,,0.007562406913687647,23.77537915989631,0.1848366394175587,0,809,4.394561184793494,0.001720855984405418,,
35.50747500000056,1056,,,,,23.77527336411599,0.18533106592403603,0,874,4.4062967552069585,,,
35.53319499999937,1056,,,,,23.77533888060143,0.1867263550856887,0,1494,4.439482370101763,,,
35.558679999999704,1056,,,,,23.775391338166404,0.18732449437549065,0,1600,4.453713161001442,,,
35.58036999999918,1056,,,,,23.775257391438213,0.18802587172489274,0,1618,4.470363496508869,,,
35.603479999999514,1056,,,,,23.775357927650663,0.1873400043289109,0,1621,4.454075657087482,,,
35.62622999999952,1056,,,,0.0041606458111668465,23.77507528274178,0.18706728789575644,0,1621,4.44753885265994,0.0009354939774564282,,
35.64825999999977,1056,,,,,23.774956675989532,0.1855450949561976,0,1620,4.411326594025962,,,
35.67305999999959,1056,,,,,23.775156216166593,0.18501256922872414,0,1617,4.3987027353672525,,,
35.69944000000041,1056,,,,,23.775457383122163,0.18380777300384266,0,1617,4.370113873739453,,,
35.72579499999993,1056,,,,,23.775722408101544,0.18724116556660755,0,1617,4.451793975881042,,,
35.75573999999929,1056,,,,,23.77616309308785,0.18439433342262954,0,1469,4.384189744897659,,,
35.78009499999974,1056,,,,0.003129508376007125,23.776106902033405,0.18334698532885493,0,1428,4.359277523344405,0.0007178961099054299,,
35.80262999999989,1056,,,,,23.775860019209127,0.1848929968836343,0,1260,4.395990012437359,,,
35.82603000000026,1056,,,,,23.77612930795218,0.1831810971481124,0,1554,4.35533745256607,,,
35.850799999999815,1056,,,,,23.776244734258302,0.1839238747238759,0,1605,4.373019057907938,,,
35.87575999999978,1056,,,,,23.77605869246168,0.18287825652851988,0,1602,4.348124160797153,,,
35.90003499999922,1056,,,,,23.77635450254785,0.18298403981639869,0,1453,4.350693398983026,,,
35.92348500000033,1056,,,,0.005432472019580562,23.776228075897336,0.18255553240737393,0,1427,4.34048197503459,0.001251582670041446,,
35.949259999999775,1056,,,,,23.77614875080666,0.1820691999160775,0,1423,4.328904380145014,,,
35.97220999999996,1056,,,,,23.776021512006313,0.18230459688337325,0,916,4.334478017236721,,,
35.9973049999997,1056,,,,,23.776018553935987,0.18177280169138701,0,828,4.321833505615344,,,
36.02751499999967,1056,,,,,23.776015718078103,0.17930229971100967,0,883,4.263094296216517,,,
36.05326499999966,1056,,,,,23.775479098701922,0.17798891352889604,0,1495,4.231771693406931,,,
36.092375,1056,,,,0.01239344251723879,23.774988638012818,0.17877167324058674,0,1591,4.2502945000934895,0.0029159020667782394,,
36.1171799999997,1056,,,,,23.774695770486005,0.1780087289747525,0,1522,4.232103375865638,,,
36.14569000000041,1056,,,,,23.7743025534149,0.17618247503427617,0,1447,4.188615466074348,,,
36.18022999999952,1056,,,,,23.774468471353494,0.17550964770923325,0,1373,4.172648585881524,,,
36.2110700000003,1056,,,,,23.774716371358277,0.17964065787565708,0,931,4.270905689757956,,,
36.241889999999664,1056,,,,0.017269673936820957,23.774707898779905,0.17731911916460932,0,838,4.215710263007533,0.00409650399562815,,
36.26879000000004,1056,,,,,23.77428406958413,0.17650223132748308,0,822,4.196214186495034,,,
36.29580999999959,1056,,,,,23.774685260698426,0.17658960926578776,0,819,4.198362380603818,,,
36.32131000000052,1056,,,,,23.77476046627309,0.17840079904300857,0,1020,4.24143626423925,,,
36.35463999999966,1056,,,,,23.774838713561696,0.1775149525509522,0,1520,4.220389366144446,,,
36.38496999999974,1056,,,,0.023017950868859945,23.774858952658075,0.17590115522007305,0,1614,4.182025154966851,0.0055040201854171765,,
36.4129849999994,1056,,,,,23.774891594394013,0.1760094434669752,0,1501,4.184605438016957,,,
36.44120999999996,1056,,,,,23.7747059562482,0.17758298307630904,0,1453,4.2219832054726485,,,
36.52403500000015,1056,,,,,23.774920245743996,0.18651361373716147,0,1310,4.4343462913465155,,,
36.56283999999985,1056,,,,0.02578618195660624,23.774695052270545,0.1858392511396226,0,1106,4.4182715245868485,0.0058362601332016375,,
36.591360000000336,1056,,,,,23.77487200869881,0.1862440350383397,0,1551,4.4279280954201425,,,
36.620275000000376,1056,,,,,23.7750663144709,0.18250230750139174,0,1628,4.339004463389549,,,
